2025-11-21T00:20:25.617136 | celebrity_interviews_341 | chunk 0 | prompt_tokens=16468, candidates_tokens=353, total_tokens=16821
2025-11-21T00:20:32.066765 | celebrity_interviews_341 | chunk 1 | prompt_tokens=3708, candidates_tokens=182, total_tokens=3890
2025-11-21T00:20:39.886397 | celebrity_interviews_341 | chunk 2 | prompt_tokens=4865, candidates_tokens=159, total_tokens=5024
2025-11-21T00:20:50.896630 | celebrity_interviews_341 | chunk 3 | prompt_tokens=13072, candidates_tokens=299, total_tokens=13371
2025-11-21T00:21:01.584336 | celebrity_interviews_341 | chunk 4 | prompt_tokens=11990, candidates_tokens=238, total_tokens=12228
2025-11-21T00:21:14.158831 | celebrity_interviews_341 | chunk 5 | prompt_tokens=13638, candidates_tokens=272, total_tokens=13910
2025-11-21T00:21:27.659452 | celebrity_interviews_341 | chunk 6 | prompt_tokens=12223, candidates_tokens=218, total_tokens=12441
2025-11-21T00:21:37.732921 | celebrity_interviews_341 | chunk 7 | prompt_tokens=14512, candidates_tokens=257, total_tokens=14769
2025-11-21T00:21:45.574809 | celebrity_interviews_341 | chunk 8 | prompt_tokens=4815, candidates_tokens=181, total_tokens=4996
2025-11-21T00:21:53.814683 | celebrity_interviews_341 | chunk 9 | prompt_tokens=5947, candidates_tokens=236, total_tokens=6183
2025-11-21T00:22:06.328873 | celebrity_interviews_341 | chunk 10 | prompt_tokens=10009, candidates_tokens=183, total_tokens=10192
2025-11-21T00:22:18.412062 | celebrity_interviews_341 | chunk 11 | prompt_tokens=6305, candidates_tokens=216, total_tokens=6521
2025-11-21T00:22:30.505116 | celebrity_interviews_341 | chunk 12 | prompt_tokens=13022, candidates_tokens=203, total_tokens=13225
2025-11-21T00:22:40.780585 | celebrity_interviews_341 | chunk 13 | prompt_tokens=6280, candidates_tokens=269, total_tokens=6549
2025-11-21T00:22:53.591192 | celebrity_interviews_341 | chunk 14 | prompt_tokens=11582, candidates_tokens=239, total_tokens=11821
2025-11-21T00:23:04.808515 | celebrity_interviews_341 | chunk 15 | prompt_tokens=13097, candidates_tokens=215, total_tokens=13312
2025-11-21T00:23:13.987361 | celebrity_interviews_154 | chunk 0 | prompt_tokens=6205, candidates_tokens=180, total_tokens=6385
2025-11-21T00:23:24.854499 | celebrity_interviews_154 | chunk 1 | prompt_tokens=8211, candidates_tokens=267, total_tokens=8478
2025-11-21T00:23:36.825190 | celebrity_interviews_154 | chunk 2 | prompt_tokens=13946, candidates_tokens=248, total_tokens=14194
2025-11-21T00:23:43.817827 | celebrity_interviews_154 | chunk 3 | prompt_tokens=2035, candidates_tokens=209, total_tokens=2244
2025-11-21T00:24:03.774411 | celebrity_interviews_154 | chunk 4 | prompt_tokens=16443, candidates_tokens=350, total_tokens=16793
2025-11-21T00:24:20.657296 | celebrity_interviews_154 | chunk 5 | prompt_tokens=23568, candidates_tokens=189, total_tokens=23757
2025-11-21T00:24:26.728081 | celebrity_interviews_154 | chunk 6 | prompt_tokens=4299, candidates_tokens=194, total_tokens=4493
2025-11-21T00:24:38.233593 | celebrity_interviews_154 | chunk 7 | prompt_tokens=13663, candidates_tokens=183, total_tokens=13846
2025-11-21T00:24:48.561965 | celebrity_interviews_154 | chunk 8 | prompt_tokens=13072, candidates_tokens=214, total_tokens=13286
2025-11-21T00:24:56.796702 | celebrity_interviews_154 | chunk 9 | prompt_tokens=5922, candidates_tokens=225, total_tokens=6147
2025-11-21T00:25:04.747293 | celebrity_interviews_154 | chunk 10 | prompt_tokens=4507, candidates_tokens=180, total_tokens=4687
2025-11-21T00:25:16.630850 | celebrity_interviews_154 | chunk 11 | prompt_tokens=17084, candidates_tokens=470, total_tokens=17554
2025-11-21T00:25:24.411219 | celebrity_interviews_154 | chunk 12 | prompt_tokens=7412, candidates_tokens=269, total_tokens=7681
2025-11-21T00:25:34.324392 | celebrity_interviews_154 | chunk 13 | prompt_tokens=14254, candidates_tokens=408, total_tokens=14662
2025-11-21T00:25:48.956571 | celebrity_interviews_154 | chunk 14 | prompt_tokens=23235, candidates_tokens=348, total_tokens=23583
2025-11-21T00:25:58.349287 | celebrity_interviews_438 | chunk 0 | prompt_tokens=9884, candidates_tokens=189, total_tokens=10073
2025-11-21T00:26:08.779348 | celebrity_interviews_438 | chunk 1 | prompt_tokens=8877, candidates_tokens=268, total_tokens=9145
2025-11-21T00:26:16.862202 | celebrity_interviews_438 | chunk 2 | prompt_tokens=6513, candidates_tokens=233, total_tokens=6746
2025-11-21T00:26:26.813942 | celebrity_interviews_438 | chunk 3 | prompt_tokens=10009, candidates_tokens=247, total_tokens=10256
2025-11-21T00:26:38.811283 | celebrity_interviews_438 | chunk 4 | prompt_tokens=18757, candidates_tokens=268, total_tokens=19025
2025-11-21T00:26:52.295532 | celebrity_interviews_438 | chunk 5 | prompt_tokens=11141, candidates_tokens=304, total_tokens=11445
2025-11-21T00:27:04.504306 | celebrity_interviews_438 | chunk 6 | prompt_tokens=16751, candidates_tokens=123, total_tokens=16874
2025-11-21T00:27:16.019201 | celebrity_interviews_438 | chunk 7 | prompt_tokens=10575, candidates_tokens=366, total_tokens=10941
2025-11-21T00:27:24.972532 | celebrity_interviews_438 | chunk 8 | prompt_tokens=1702, candidates_tokens=219, total_tokens=1921
2025-11-21T00:27:36.749449 | celebrity_interviews_438 | chunk 9 | prompt_tokens=14204, candidates_tokens=359, total_tokens=14563
2025-11-21T00:27:50.692162 | celebrity_interviews_438 | chunk 10 | prompt_tokens=15927, candidates_tokens=302, total_tokens=16229
