2025-11-21T00:22:40.612593 | science_explainers_127 | chunk 0 | prompt_tokens=13688, candidates_tokens=251, total_tokens=13939
2025-11-21T00:22:53.602058 | science_explainers_127 | chunk 1 | prompt_tokens=11582, candidates_tokens=395, total_tokens=11977
2025-11-21T00:23:16.026297 | science_explainers_127 | chunk 2 | prompt_tokens=18732, candidates_tokens=279, total_tokens=19011
2025-11-21T00:23:30.677044 | science_explainers_127 | chunk 3 | prompt_tokens=15852, candidates_tokens=329, total_tokens=16181
2025-11-21T00:23:46.391611 | science_explainers_127 | chunk 4 | prompt_tokens=24650, candidates_tokens=378, total_tokens=25028
2025-11-21T00:23:54.679187 | science_explainers_127 | chunk 5 | prompt_tokens=6796, candidates_tokens=177, total_tokens=6973
2025-11-21T00:24:05.937777 | science_explainers_127 | chunk 6 | prompt_tokens=13921, candidates_tokens=326, total_tokens=14247
2025-11-21T00:24:18.021001 | science_explainers_127 | chunk 7 | prompt_tokens=7362, candidates_tokens=261, total_tokens=7623
2025-11-21T00:24:28.011388 | science_explainers_127 | chunk 8 | prompt_tokens=4349, candidates_tokens=257, total_tokens=4606
2025-11-21T00:24:35.738954 | science_explainers_127 | chunk 9 | prompt_tokens=8569, candidates_tokens=258, total_tokens=8827
2025-11-21T00:24:44.568605 | science_explainers_127 | chunk 10 | prompt_tokens=4041, candidates_tokens=242, total_tokens=4283
2025-11-21T00:24:58.040259 | science_explainers_127 | chunk 11 | prompt_tokens=9135, candidates_tokens=256, total_tokens=9391
2025-11-21T00:25:13.940808 | science_explainers_399 | chunk 0 | prompt_tokens=14562, candidates_tokens=331, total_tokens=14893
2025-11-21T00:25:22.903569 | science_explainers_399 | chunk 1 | prompt_tokens=13255, candidates_tokens=335, total_tokens=13590
2025-11-21T00:25:33.046345 | science_explainers_399 | chunk 2 | prompt_tokens=10883, candidates_tokens=237, total_tokens=11120
2025-11-21T00:25:41.370038 | science_explainers_399 | chunk 3 | prompt_tokens=10808, candidates_tokens=148, total_tokens=10956
2025-11-21T00:25:54.178684 | science_explainers_399 | chunk 4 | prompt_tokens=14720, candidates_tokens=173, total_tokens=14893
2025-11-21T00:26:05.819281 | science_explainers_399 | chunk 5 | prompt_tokens=9318, candidates_tokens=273, total_tokens=9591
2025-11-21T00:26:14.347541 | science_explainers_399 | chunk 6 | prompt_tokens=6255, candidates_tokens=176, total_tokens=6431
2025-11-21T00:26:23.218916 | science_explainers_399 | chunk 7 | prompt_tokens=5897, candidates_tokens=148, total_tokens=6045
2025-11-21T00:26:35.370100 | science_explainers_399 | chunk 8 | prompt_tokens=5173, candidates_tokens=248, total_tokens=5421
2025-11-21T00:26:44.583391 | science_explainers_399 | chunk 9 | prompt_tokens=5639, candidates_tokens=212, total_tokens=5851
2025-11-21T00:27:00.267222 | science_explainers_399 | chunk 10 | prompt_tokens=16518, candidates_tokens=230, total_tokens=16748
2025-11-21T00:27:17.919325 | science_explainers_399 | chunk 11 | prompt_tokens=21512, candidates_tokens=284, total_tokens=21796
