2025-11-20T18:34:25.762216 | sports_talk_shows_178 | chunk 0 | prompt_tokens=7104, candidates_tokens=237, total_tokens=7341
2025-11-20T18:34:32.933464 | sports_talk_shows_178 | chunk 1 | prompt_tokens=5198, candidates_tokens=175, total_tokens=5373
2025-11-20T18:34:47.138048 | sports_talk_shows_178 | chunk 2 | prompt_tokens=23260, candidates_tokens=289, total_tokens=23549
2025-11-20T18:34:56.298408 | sports_talk_shows_178 | chunk 3 | prompt_tokens=13380, candidates_tokens=143, total_tokens=13523
2025-11-20T18:35:11.418367 | sports_talk_shows_178 | chunk 4 | prompt_tokens=14795, candidates_tokens=186, total_tokens=14981
2025-11-20T18:35:26.565435 | sports_talk_shows_178 | chunk 5 | prompt_tokens=16751, candidates_tokens=167, total_tokens=16918
2025-11-20T18:35:33.000273 | sports_talk_shows_178 | chunk 6 | prompt_tokens=5198, candidates_tokens=169, total_tokens=5367
2025-11-20T18:35:41.291778 | sports_talk_shows_178 | chunk 7 | prompt_tokens=3758, candidates_tokens=137, total_tokens=3895
2025-11-20T18:35:49.475063 | sports_talk_shows_178 | chunk 8 | prompt_tokens=8569, candidates_tokens=141, total_tokens=8710
2025-11-20T18:36:00.243177 | sports_talk_shows_178 | chunk 9 | prompt_tokens=6230, candidates_tokens=132, total_tokens=6362
2025-11-20T18:36:07.158161 | sports_talk_shows_178 | chunk 10 | prompt_tokens=5123, candidates_tokens=140, total_tokens=5263
2025-11-20T18:36:14.469244 | sports_talk_shows_178 | chunk 11 | prompt_tokens=5456, candidates_tokens=191, total_tokens=5647
2025-11-20T18:36:26.936907 | sports_talk_shows_178 | chunk 12 | prompt_tokens=13971, candidates_tokens=171, total_tokens=14142
2025-11-20T18:36:35.815827 | sports_talk_shows_178 | chunk 13 | prompt_tokens=11141, candidates_tokens=130, total_tokens=11271
2025-11-20T18:36:45.325734 | sports_talk_shows_178 | chunk 14 | prompt_tokens=11424, candidates_tokens=237, total_tokens=11661
2025-11-20T18:36:55.635448 | sports_talk_shows_140 | chunk 0 | prompt_tokens=13971, candidates_tokens=331, total_tokens=14302
2025-11-20T18:37:06.437514 | sports_talk_shows_140 | chunk 1 | prompt_tokens=17575, candidates_tokens=251, total_tokens=17826
2025-11-20T18:37:22.296609 | sports_talk_shows_140 | chunk 2 | prompt_tokens=20147, candidates_tokens=399, total_tokens=20546
2025-11-20T18:37:30.602192 | sports_talk_shows_140 | chunk 3 | prompt_tokens=4532, candidates_tokens=210, total_tokens=4742
2025-11-20T18:37:40.767534 | sports_talk_shows_140 | chunk 4 | prompt_tokens=5456, candidates_tokens=421, total_tokens=5877
2025-11-20T18:37:50.278215 | sports_talk_shows_140 | chunk 5 | prompt_tokens=7462, candidates_tokens=278, total_tokens=7740
2025-11-20T18:37:59.483465 | sports_talk_shows_140 | chunk 6 | prompt_tokens=8444, candidates_tokens=282, total_tokens=8726
2025-11-20T18:38:08.041965 | sports_talk_shows_140 | chunk 7 | prompt_tokens=12123, candidates_tokens=209, total_tokens=12332
2025-11-20T18:38:16.843692 | sports_talk_shows_140 | chunk 8 | prompt_tokens=3375, candidates_tokens=329, total_tokens=3704
2025-11-20T18:38:29.455214 | sports_talk_shows_140 | chunk 9 | prompt_tokens=7312, candidates_tokens=525, total_tokens=7837
2025-11-20T18:38:38.283604 | sports_talk_shows_140 | chunk 10 | prompt_tokens=12839, candidates_tokens=379, total_tokens=13218
2025-11-20T18:38:48.530983 | sports_talk_shows_140 | chunk 11 | prompt_tokens=7595, candidates_tokens=198, total_tokens=7793
2025-11-20T18:38:57.437037 | sports_talk_shows_140 | chunk 12 | prompt_tokens=8569, candidates_tokens=354, total_tokens=8923
2025-11-20T18:39:07.971313 | sports_talk_shows_140 | chunk 13 | prompt_tokens=11066, candidates_tokens=115, total_tokens=11181
2025-11-20T18:39:18.522802 | sports_talk_shows_140 | chunk 14 | prompt_tokens=10242, candidates_tokens=246, total_tokens=10488
2025-11-20T18:39:28.823153 | sports_talk_shows_270 | chunk 0 | prompt_tokens=5947, candidates_tokens=300, total_tokens=6247
2025-11-20T18:39:36.425918 | sports_talk_shows_270 | chunk 1 | prompt_tokens=3142, candidates_tokens=207, total_tokens=3349
2025-11-20T18:39:43.864842 | sports_talk_shows_270 | chunk 2 | prompt_tokens=3966, candidates_tokens=241, total_tokens=4207
2025-11-20T18:39:55.881984 | sports_talk_shows_270 | chunk 3 | prompt_tokens=11424, candidates_tokens=353, total_tokens=11777
2025-11-20T18:40:02.046764 | sports_talk_shows_270 | chunk 4 | prompt_tokens=5481, candidates_tokens=249, total_tokens=5730
2025-11-20T18:40:15.102813 | sports_talk_shows_270 | chunk 5 | prompt_tokens=10267, candidates_tokens=319, total_tokens=10586
2025-11-20T18:40:26.418140 | sports_talk_shows_270 | chunk 6 | prompt_tokens=11066, candidates_tokens=191, total_tokens=11257
2025-11-20T18:40:35.392612 | sports_talk_shows_270 | chunk 7 | prompt_tokens=4324, candidates_tokens=248, total_tokens=4572
2025-11-20T18:40:47.622629 | sports_talk_shows_270 | chunk 8 | prompt_tokens=10267, candidates_tokens=206, total_tokens=10473
2025-11-20T18:41:00.504418 | sports_talk_shows_270 | chunk 9 | prompt_tokens=9934, candidates_tokens=412, total_tokens=10346
2025-11-20T18:41:14.989982 | sports_talk_shows_270 | chunk 10 | prompt_tokens=12531, candidates_tokens=319, total_tokens=12850
2025-11-20T18:41:23.122818 | sports_talk_shows_270 | chunk 11 | prompt_tokens=5664, candidates_tokens=263, total_tokens=5927
2025-11-20T18:41:29.355894 | sports_talk_shows_270 | chunk 12 | prompt_tokens=4249, candidates_tokens=234, total_tokens=4483
2025-11-20T18:41:42.095610 | sports_talk_shows_270 | chunk 13 | prompt_tokens=11141, candidates_tokens=288, total_tokens=11429
