2025-11-21T18:39:26.515483 | sports_talk_shows_371 | chunk 0 | prompt_tokens=16543, candidates_tokens=384, total_tokens=18602
2025-11-21T18:39:56.973333 | sports_talk_shows_371 | chunk 1 | prompt_tokens=8664, candidates_tokens=276, total_tokens=9852
2025-11-21T18:40:27.283489 | sports_talk_shows_371 | chunk 2 | prompt_tokens=9160, candidates_tokens=310, total_tokens=10518
2025-11-21T18:40:52.403422 | sports_talk_shows_371 | chunk 3 | prompt_tokens=3991, candidates_tokens=280, total_tokens=5965
2025-11-21T18:41:09.716873 | sports_talk_shows_371 | chunk 4 | prompt_tokens=5123, candidates_tokens=224, total_tokens=6041
2025-11-21T18:41:26.294183 | sports_talk_shows_371 | chunk 5 | prompt_tokens=3425, candidates_tokens=307, total_tokens=4790
2025-11-21T18:41:41.044842 | sports_talk_shows_371 | chunk 6 | prompt_tokens=7670, candidates_tokens=403, total_tokens=8717
2025-11-21T18:42:19.235873 | sports_talk_shows_371 | chunk 7 | prompt_tokens=11091, candidates_tokens=279, total_tokens=12632
2025-11-21T18:42:28.965599 | sports_talk_shows_371 | chunk 8 | prompt_tokens=1519, candidates_tokens=177, total_tokens=2018
2025-11-21T18:43:13.752999 | sports_talk_shows_371 | chunk 9 | prompt_tokens=17883, candidates_tokens=314, total_tokens=20012
2025-11-21T18:44:10.580782 | sports_talk_shows_371 | chunk 10 | prompt_tokens=24109, candidates_tokens=277, total_tokens=26463
2025-11-21T18:44:52.154936 | sports_talk_shows_371 | chunk 11 | prompt_tokens=13380, candidates_tokens=547, total_tokens=14601
2025-11-21T18:45:08.484850 | sports_talk_shows_371 | chunk 12 | prompt_tokens=5198, candidates_tokens=216, total_tokens=6209
2025-11-21T18:45:56.086569 | sports_talk_shows_371 | chunk 13 | prompt_tokens=19015, candidates_tokens=389, total_tokens=20165
2025-11-21T18:46:19.534929 | sports_talk_shows_371 | chunk 14 | prompt_tokens=7204, candidates_tokens=332, total_tokens=8342
2025-11-21T18:46:37.684333 | sports_talk_shows_371 | chunk 15 | prompt_tokens=7412, candidates_tokens=268, total_tokens=8319
2025-11-21T18:47:33.188605 | sports_talk_shows_365 | chunk 0 | prompt_tokens=22644, candidates_tokens=262, total_tokens=24184
2025-11-21T18:47:50.375750 | sports_talk_shows_365 | chunk 1 | prompt_tokens=5415, candidates_tokens=230, total_tokens=6412
2025-11-21T18:48:14.482422 | sports_talk_shows_365 | chunk 2 | prompt_tokens=6280, candidates_tokens=264, total_tokens=7433
2025-11-21T18:48:39.835076 | sports_talk_shows_365 | chunk 3 | prompt_tokens=5123, candidates_tokens=254, total_tokens=6121
2025-11-21T18:49:02.440570 | sports_talk_shows_365 | chunk 4 | prompt_tokens=1469, candidates_tokens=213, total_tokens=3477
