2025-11-21T18:24:01.325236 | political_interviews_271 | chunk 0 | prompt_tokens=17808, candidates_tokens=271, total_tokens=18939
2025-11-21T18:24:11.145185 | political_interviews_271 | chunk 1 | prompt_tokens=3192, candidates_tokens=207, total_tokens=3751
2025-11-21T18:24:28.498601 | political_interviews_271 | chunk 2 | prompt_tokens=15003, candidates_tokens=182, total_tokens=15638
2025-11-21T18:24:45.239887 | political_interviews_271 | chunk 3 | prompt_tokens=10292, candidates_tokens=257, total_tokens=10898
2025-11-21T18:25:19.682351 | political_interviews_271 | chunk 4 | prompt_tokens=10153, candidates_tokens=158, total_tokens=10740
2025-11-21T18:25:35.876175 | political_interviews_271 | chunk 5 | prompt_tokens=11016, candidates_tokens=180, total_tokens=11607
2025-11-21T18:25:52.464183 | political_interviews_271 | chunk 6 | prompt_tokens=16701, candidates_tokens=249, total_tokens=17309
2025-11-21T18:26:08.523493 | political_interviews_271 | chunk 7 | prompt_tokens=7204, candidates_tokens=245, total_tokens=8365
2025-11-21T18:26:28.959612 | political_interviews_271 | chunk 8 | prompt_tokens=21870, candidates_tokens=205, total_tokens=22434
2025-11-21T18:26:44.383159 | political_interviews_271 | chunk 9 | prompt_tokens=13921, candidates_tokens=212, total_tokens=14638
2025-11-21T18:27:01.080004 | political_interviews_271 | chunk 10 | prompt_tokens=10758, candidates_tokens=194, total_tokens=11554
2025-11-21T18:27:11.101858 | political_interviews_271 | chunk 11 | prompt_tokens=7645, candidates_tokens=186, total_tokens=8123
2025-11-21T18:27:29.662117 | political_interviews_271 | chunk 12 | prompt_tokens=13022, candidates_tokens=370, total_tokens=14087
2025-11-21T18:27:42.565594 | political_interviews_244 | chunk 0 | prompt_tokens=10600, candidates_tokens=178, total_tokens=11081
2025-11-21T18:28:01.390488 | political_interviews_244 | chunk 1 | prompt_tokens=20197, candidates_tokens=111, total_tokens=20809
2025-11-21T18:28:28.958885 | political_interviews_244 | chunk 2 | prompt_tokens=7953, candidates_tokens=108, total_tokens=8245
2025-11-21T18:28:38.913438 | political_interviews_244 | chunk 3 | prompt_tokens=3991, candidates_tokens=143, total_tokens=4458
2025-11-21T18:28:55.157596 | political_interviews_244 | chunk 4 | prompt_tokens=11399, candidates_tokens=116, total_tokens=11850
2025-11-21T18:29:07.059297 | political_interviews_244 | chunk 5 | prompt_tokens=5431, candidates_tokens=98, total_tokens=5757
2025-11-21T18:29:22.774156 | political_interviews_244 | chunk 6 | prompt_tokens=12506, candidates_tokens=136, total_tokens=13192
2025-11-21T18:29:35.498439 | political_interviews_244 | chunk 7 | prompt_tokens=6821, candidates_tokens=175, total_tokens=7607
2025-11-21T18:29:48.429851 | political_interviews_244 | chunk 8 | prompt_tokens=8544, candidates_tokens=147, total_tokens=8970
2025-11-21T18:30:05.809980 | political_interviews_244 | chunk 9 | prompt_tokens=9984, candidates_tokens=163, total_tokens=10394
2025-11-21T18:30:45.794932 | political_interviews_244 | chunk 10 | prompt_tokens=22253, candidates_tokens=258, total_tokens=23070
2025-11-21T18:31:13.263503 | political_interviews_479 | chunk 0 | prompt_tokens=23751, candidates_tokens=308, total_tokens=25239
2025-11-21T18:31:25.775654 | political_interviews_479 | chunk 1 | prompt_tokens=9343, candidates_tokens=159, total_tokens=9745
2025-11-21T18:31:45.205567 | political_interviews_479 | chunk 2 | prompt_tokens=17575, candidates_tokens=204, total_tokens=18293
2025-11-21T18:32:03.024298 | political_interviews_479 | chunk 3 | prompt_tokens=18141, candidates_tokens=130, total_tokens=18509
2025-11-21T18:32:21.102198 | political_interviews_479 | chunk 4 | prompt_tokens=20172, candidates_tokens=181, total_tokens=20951
2025-11-21T18:32:32.798050 | political_interviews_479 | chunk 5 | prompt_tokens=8777, candidates_tokens=141, total_tokens=9328
2025-11-21T18:32:45.655576 | political_interviews_479 | chunk 6 | prompt_tokens=10858, candidates_tokens=135, total_tokens=11293
2025-11-21T18:33:00.476487 | political_interviews_479 | chunk 7 | prompt_tokens=8802, candidates_tokens=220, total_tokens=9403
