2025-11-21T00:38:33.209286 | science_explainers_104 | chunk 0 | prompt_tokens=707, candidates_tokens=115, total_tokens=822
2025-11-21T00:38:44.197344 | science_explainers_104 | chunk 1 | prompt_tokens=1432, candidates_tokens=122, total_tokens=1554
2025-11-21T00:38:49.579594 | science_explainers_104 | chunk 2 | prompt_tokens=982, candidates_tokens=101, total_tokens=1083
2025-11-21T00:38:55.717158 | science_explainers_104 | chunk 3 | prompt_tokens=1182, candidates_tokens=51, total_tokens=1233
2025-11-21T00:38:59.933128 | science_explainers_104 | chunk 4 | prompt_tokens=632, candidates_tokens=66, total_tokens=698
2025-11-21T00:39:03.443879 | science_explainers_104 | chunk 5 | prompt_tokens=457, candidates_tokens=53, total_tokens=510
2025-11-21T00:39:07.764341 | science_explainers_104 | chunk 6 | prompt_tokens=1282, candidates_tokens=77, total_tokens=1359
2025-11-21T00:39:14.350423 | science_explainers_104 | chunk 7 | prompt_tokens=782, candidates_tokens=56, total_tokens=838
2025-11-21T00:39:20.139115 | science_explainers_104 | chunk 8 | prompt_tokens=732, candidates_tokens=74, total_tokens=806
2025-11-21T00:39:27.194107 | science_explainers_104 | chunk 9 | prompt_tokens=757, candidates_tokens=82, total_tokens=839
2025-11-21T00:39:31.562169 | science_explainers_104 | chunk 10 | prompt_tokens=682, candidates_tokens=75, total_tokens=757
2025-11-21T00:39:38.342550 | science_explainers_104 | chunk 11 | prompt_tokens=1182, candidates_tokens=91, total_tokens=1273
2025-11-21T00:39:46.278131 | science_explainers_104 | chunk 12 | prompt_tokens=1007, candidates_tokens=62, total_tokens=1069
2025-11-21T00:39:51.254650 | science_explainers_104 | chunk 13 | prompt_tokens=1682, candidates_tokens=102, total_tokens=1784
2025-11-21T00:39:55.196861 | science_explainers_331 | chunk 0 | prompt_tokens=1007, candidates_tokens=60, total_tokens=1067
2025-11-21T00:40:07.691762 | science_explainers_331 | chunk 1 | prompt_tokens=1982, candidates_tokens=92, total_tokens=2074
2025-11-21T00:40:12.316577 | science_explainers_331 | chunk 2 | prompt_tokens=1107, candidates_tokens=55, total_tokens=1162
2025-11-21T00:40:18.367371 | science_explainers_331 | chunk 3 | prompt_tokens=982, candidates_tokens=67, total_tokens=1049
2025-11-21T00:40:23.891967 | science_explainers_331 | chunk 4 | prompt_tokens=1032, candidates_tokens=99, total_tokens=1131
2025-11-21T00:40:32.505931 | science_explainers_331 | chunk 5 | prompt_tokens=1407, candidates_tokens=92, total_tokens=1499
2025-11-21T00:40:41.131054 | science_explainers_331 | chunk 6 | prompt_tokens=2332, candidates_tokens=107, total_tokens=2439
2025-11-21T00:40:49.548810 | science_explainers_331 | chunk 7 | prompt_tokens=1707, candidates_tokens=93, total_tokens=1800
2025-11-21T00:40:55.283288 | science_explainers_331 | chunk 8 | prompt_tokens=907, candidates_tokens=80, total_tokens=987
2025-11-21T00:41:01.950398 | science_explainers_331 | chunk 9 | prompt_tokens=1207, candidates_tokens=115, total_tokens=1322
2025-11-21T00:41:08.198063 | science_explainers_331 | chunk 10 | prompt_tokens=1182, candidates_tokens=80, total_tokens=1262
2025-11-21T00:41:12.650410 | science_explainers_331 | chunk 11 | prompt_tokens=832, candidates_tokens=54, total_tokens=886
2025-11-21T00:41:19.860422 | science_explainers_331 | chunk 12 | prompt_tokens=1132, candidates_tokens=99, total_tokens=1231
2025-11-21T00:41:24.461645 | science_explainers_60 | chunk 0 | prompt_tokens=932, candidates_tokens=54, total_tokens=986
2025-11-21T00:41:30.977734 | science_explainers_60 | chunk 1 | prompt_tokens=1057, candidates_tokens=70, total_tokens=1127
2025-11-21T00:41:34.443184 | science_explainers_60 | chunk 2 | prompt_tokens=707, candidates_tokens=62, total_tokens=769
2025-11-21T00:41:41.815075 | science_explainers_60 | chunk 3 | prompt_tokens=2057, candidates_tokens=127, total_tokens=2184
2025-11-21T00:41:47.020948 | science_explainers_60 | chunk 4 | prompt_tokens=732, candidates_tokens=82, total_tokens=814
2025-11-21T00:41:54.683716 | science_explainers_60 | chunk 5 | prompt_tokens=882, candidates_tokens=120, total_tokens=1002
2025-11-21T00:42:01.802523 | science_explainers_60 | chunk 6 | prompt_tokens=1907, candidates_tokens=116, total_tokens=2023
2025-11-21T00:42:21.574920 | science_explainers_60 | chunk 7 | prompt_tokens=1832, candidates_tokens=117, total_tokens=1949
2025-11-21T00:42:33.303913 | science_explainers_60 | chunk 8 | prompt_tokens=2207, candidates_tokens=106, total_tokens=2313
2025-11-21T00:42:39.611970 | science_explainers_60 | chunk 9 | prompt_tokens=1207, candidates_tokens=95, total_tokens=1302
2025-11-21T00:42:43.307742 | science_explainers_157 | chunk 0 | prompt_tokens=832, candidates_tokens=73, total_tokens=905
