2025-11-21T18:43:04.385931 | celebrity_interviews_329 | chunk 0 | prompt_tokens=10475, candidates_tokens=322, total_tokens=11809
2025-11-21T18:43:20.384150 | celebrity_interviews_329 | chunk 1 | prompt_tokens=5714, candidates_tokens=292, total_tokens=6806
2025-11-21T18:43:48.872768 | celebrity_interviews_329 | chunk 2 | prompt_tokens=7479, candidates_tokens=242, total_tokens=8303
2025-11-21T18:44:16.526268 | celebrity_interviews_329 | chunk 3 | prompt_tokens=10149, candidates_tokens=243, total_tokens=10923
2025-11-21T18:44:36.590814 | celebrity_interviews_329 | chunk 4 | prompt_tokens=9726, candidates_tokens=358, total_tokens=10958
2025-11-21T18:45:00.226286 | celebrity_interviews_329 | chunk 5 | prompt_tokens=11399, candidates_tokens=346, total_tokens=13005
2025-11-21T18:45:20.605508 | celebrity_interviews_329 | chunk 6 | prompt_tokens=8679, candidates_tokens=166, total_tokens=9283
2025-11-21T18:45:33.730322 | celebrity_interviews_329 | chunk 7 | prompt_tokens=3683, candidates_tokens=152, total_tokens=4507
2025-11-21T18:46:00.004396 | celebrity_interviews_329 | chunk 8 | prompt_tokens=16493, candidates_tokens=467, total_tokens=18177
2025-11-21T18:46:26.509857 | celebrity_interviews_329 | chunk 9 | prompt_tokens=13613, candidates_tokens=230, total_tokens=14545
2025-11-21T18:46:48.635265 | celebrity_interviews_329 | chunk 10 | prompt_tokens=9701, candidates_tokens=493, total_tokens=11029
2025-11-21T18:47:01.969497 | celebrity_interviews_329 | chunk 11 | prompt_tokens=3475, candidates_tokens=194, total_tokens=4476
2025-11-21T18:47:18.134069 | celebrity_interviews_329 | chunk 12 | prompt_tokens=5689, candidates_tokens=652, total_tokens=7263
2025-11-21T18:47:34.679966 | celebrity_interviews_329 | chunk 13 | prompt_tokens=9035, candidates_tokens=199, total_tokens=9731
2025-11-21T18:47:47.413672 | celebrity_interviews_329 | chunk 14 | prompt_tokens=6846, candidates_tokens=192, total_tokens=7216
2025-11-21T18:48:04.919228 | celebrity_interviews_329 | chunk 15 | prompt_tokens=10724, candidates_tokens=115, total_tokens=11067
2025-11-21T18:48:34.319075 | celebrity_interviews_329 | chunk 16 | prompt_tokens=16518, candidates_tokens=489, total_tokens=18196
2025-11-21T18:48:55.372396 | celebrity_interviews_372 | chunk 0 | prompt_tokens=8956, candidates_tokens=274, total_tokens=9782
2025-11-21T18:49:21.572432 | celebrity_interviews_372 | chunk 1 | prompt_tokens=12997, candidates_tokens=419, total_tokens=14810
2025-11-21T18:49:37.422195 | celebrity_interviews_372 | chunk 2 | prompt_tokens=5739, candidates_tokens=468, total_tokens=6802
2025-11-21T18:49:50.851592 | celebrity_interviews_372 | chunk 3 | prompt_tokens=4607, candidates_tokens=395, total_tokens=5534
2025-11-21T18:50:04.728863 | celebrity_interviews_372 | chunk 4 | prompt_tokens=6305, candidates_tokens=338, total_tokens=7250
2025-11-21T18:50:27.130264 | celebrity_interviews_372 | chunk 5 | prompt_tokens=15544, candidates_tokens=199, total_tokens=16106
2025-11-21T18:50:44.531680 | celebrity_interviews_372 | chunk 6 | prompt_tokens=6230, candidates_tokens=155, total_tokens=6799
2025-11-21T18:50:57.523483 | celebrity_interviews_372 | chunk 7 | prompt_tokens=9085, candidates_tokens=164, total_tokens=9549
2025-11-21T18:51:20.811932 | celebrity_interviews_372 | chunk 8 | prompt_tokens=15952, candidates_tokens=207, total_tokens=16553
2025-11-21T18:51:42.220456 | celebrity_interviews_372 | chunk 9 | prompt_tokens=14978, candidates_tokens=158, total_tokens=15410
2025-11-21T18:51:53.267493 | celebrity_interviews_372 | chunk 10 | prompt_tokens=5997, candidates_tokens=160, total_tokens=6465
2025-11-21T18:52:12.106835 | celebrity_interviews_372 | chunk 11 | prompt_tokens=8519, candidates_tokens=171, total_tokens=9251
2025-11-21T18:52:30.641589 | celebrity_interviews_372 | chunk 12 | prompt_tokens=9035, candidates_tokens=186, total_tokens=9863
2025-11-21T18:52:54.019792 | celebrity_interviews_372 | chunk 13 | prompt_tokens=15286, candidates_tokens=238, total_tokens=16125
2025-11-21T18:53:11.627296 | celebrity_interviews_283 | chunk 0 | prompt_tokens=7079, candidates_tokens=240, total_tokens=8098
2025-11-21T18:53:37.762433 | celebrity_interviews_283 | chunk 1 | prompt_tokens=9626, candidates_tokens=272, total_tokens=10715
2025-11-21T18:53:53.623241 | celebrity_interviews_283 | chunk 2 | prompt_tokens=5639, candidates_tokens=181, total_tokens=6633
2025-11-21T18:54:17.184736 | celebrity_interviews_283 | chunk 3 | prompt_tokens=12148, candidates_tokens=301, total_tokens=13235
2025-11-21T18:54:42.885814 | celebrity_interviews_283 | chunk 4 | prompt_tokens=12248, candidates_tokens=271, total_tokens=13881
2025-11-21T18:55:01.298285 | celebrity_interviews_283 | chunk 5 | prompt_tokens=7129, candidates_tokens=274, total_tokens=8407
2025-11-21T18:55:21.765624 | celebrity_interviews_283 | chunk 6 | prompt_tokens=9343, candidates_tokens=245, total_tokens=10001
2025-11-21T18:55:49.567355 | celebrity_interviews_283 | chunk 7 | prompt_tokens=15644, candidates_tokens=221, total_tokens=16254
