2025-11-21T00:25:38.683376 | sports_talk_shows_133 | chunk 0 | prompt_tokens=1132, candidates_tokens=106, total_tokens=1238
2025-11-21T00:25:43.586491 | sports_talk_shows_133 | chunk 1 | prompt_tokens=532, candidates_tokens=79, total_tokens=611
2025-11-21T00:25:48.130053 | sports_talk_shows_133 | chunk 2 | prompt_tokens=907, candidates_tokens=111, total_tokens=1018
2025-11-21T00:25:54.274617 | sports_talk_shows_133 | chunk 3 | prompt_tokens=957, candidates_tokens=109, total_tokens=1066
2025-11-21T00:26:00.507300 | sports_talk_shows_133 | chunk 4 | prompt_tokens=757, candidates_tokens=65, total_tokens=822
2025-11-21T00:26:05.368175 | sports_talk_shows_133 | chunk 5 | prompt_tokens=957, candidates_tokens=151, total_tokens=1108
2025-11-21T00:26:11.317964 | sports_talk_shows_133 | chunk 6 | prompt_tokens=832, candidates_tokens=97, total_tokens=929
2025-11-21T00:26:17.785267 | sports_talk_shows_133 | chunk 7 | prompt_tokens=1382, candidates_tokens=147, total_tokens=1529
2025-11-21T00:26:25.367012 | sports_talk_shows_133 | chunk 8 | prompt_tokens=2032, candidates_tokens=79, total_tokens=2111
2025-11-21T00:26:30.174171 | sports_talk_shows_133 | chunk 9 | prompt_tokens=732, candidates_tokens=67, total_tokens=799
2025-11-21T00:26:34.464842 | sports_talk_shows_133 | chunk 10 | prompt_tokens=507, candidates_tokens=78, total_tokens=585
2025-11-21T00:26:40.448170 | sports_talk_shows_133 | chunk 11 | prompt_tokens=732, candidates_tokens=111, total_tokens=843
2025-11-21T00:26:46.916657 | sports_talk_shows_133 | chunk 12 | prompt_tokens=882, candidates_tokens=114, total_tokens=996
2025-11-21T00:26:58.390978 | sports_talk_shows_133 | chunk 13 | prompt_tokens=2057, candidates_tokens=106, total_tokens=2163
2025-11-21T00:27:03.719860 | sports_talk_shows_246 | chunk 0 | prompt_tokens=782, candidates_tokens=80, total_tokens=862
2025-11-21T00:27:12.812223 | sports_talk_shows_246 | chunk 1 | prompt_tokens=2332, candidates_tokens=146, total_tokens=2478
2025-11-21T00:27:21.429976 | sports_talk_shows_246 | chunk 2 | prompt_tokens=1607, candidates_tokens=82, total_tokens=1689
2025-11-21T00:27:27.496846 | sports_talk_shows_246 | chunk 3 | prompt_tokens=2032, candidates_tokens=67, total_tokens=2099
2025-11-21T00:27:31.894479 | sports_talk_shows_246 | chunk 4 | prompt_tokens=1132, candidates_tokens=108, total_tokens=1240
2025-11-21T00:27:37.350223 | sports_talk_shows_246 | chunk 5 | prompt_tokens=1582, candidates_tokens=101, total_tokens=1683
2025-11-21T00:27:45.948973 | sports_talk_shows_246 | chunk 6 | prompt_tokens=1532, candidates_tokens=102, total_tokens=1634
2025-11-21T00:27:49.107253 | sports_talk_shows_246 | chunk 7 | prompt_tokens=457, candidates_tokens=82, total_tokens=539
2025-11-21T00:27:55.743206 | sports_talk_shows_246 | chunk 8 | prompt_tokens=1257, candidates_tokens=83, total_tokens=1340
2025-11-21T00:28:03.955813 | sports_talk_shows_246 | chunk 9 | prompt_tokens=1782, candidates_tokens=88, total_tokens=1870
2025-11-21T00:28:09.126432 | sports_talk_shows_246 | chunk 10 | prompt_tokens=932, candidates_tokens=129, total_tokens=1061
2025-11-21T00:28:24.623440 | sports_talk_shows_246 | chunk 11 | prompt_tokens=1482, candidates_tokens=80, total_tokens=1562
2025-11-21T00:28:30.983612 | sports_talk_shows_55 | chunk 0 | prompt_tokens=1907, candidates_tokens=146, total_tokens=2053
2025-11-21T00:28:37.716499 | sports_talk_shows_55 | chunk 1 | prompt_tokens=1682, candidates_tokens=113, total_tokens=1795
2025-11-21T00:28:43.720129 | sports_talk_shows_55 | chunk 2 | prompt_tokens=1307, candidates_tokens=125, total_tokens=1432
2025-11-21T00:28:47.403587 | sports_talk_shows_55 | chunk 3 | prompt_tokens=1307, candidates_tokens=93, total_tokens=1400
2025-11-21T00:28:52.739430 | sports_talk_shows_55 | chunk 4 | prompt_tokens=1932, candidates_tokens=86, total_tokens=2018
2025-11-21T00:28:57.541284 | sports_talk_shows_55 | chunk 5 | prompt_tokens=482, candidates_tokens=72, total_tokens=554
2025-11-21T00:29:06.096140 | sports_talk_shows_55 | chunk 6 | prompt_tokens=1082, candidates_tokens=107, total_tokens=1189
2025-11-21T00:29:13.600743 | sports_talk_shows_55 | chunk 7 | prompt_tokens=1307, candidates_tokens=79, total_tokens=1386
2025-11-21T00:29:21.249003 | sports_talk_shows_55 | chunk 8 | prompt_tokens=1532, candidates_tokens=93, total_tokens=1625
2025-11-21T00:29:26.137758 | sports_talk_shows_55 | chunk 9 | prompt_tokens=657, candidates_tokens=96, total_tokens=753
2025-11-21T00:29:30.381048 | sports_talk_shows_126 | chunk 0 | prompt_tokens=557, candidates_tokens=100, total_tokens=657
2025-11-21T00:29:33.374000 | sports_talk_shows_126 | chunk 1 | prompt_tokens=332, candidates_tokens=80, total_tokens=412
2025-11-21T00:29:40.258288 | sports_talk_shows_126 | chunk 2 | prompt_tokens=1107, candidates_tokens=107, total_tokens=1214
2025-11-21T00:29:46.059546 | sports_talk_shows_126 | chunk 3 | prompt_tokens=1707, candidates_tokens=157, total_tokens=1864
2025-11-21T00:29:54.442850 | sports_talk_shows_126 | chunk 4 | prompt_tokens=607, candidates_tokens=83, total_tokens=690
2025-11-21T00:30:00.326167 | sports_talk_shows_126 | chunk 5 | prompt_tokens=557, candidates_tokens=73, total_tokens=630
2025-11-21T00:30:09.397624 | sports_talk_shows_126 | chunk 6 | prompt_tokens=2032, candidates_tokens=171, total_tokens=2203
2025-11-21T00:30:14.683551 | sports_talk_shows_126 | chunk 7 | prompt_tokens=632, candidates_tokens=59, total_tokens=691
2025-11-21T00:30:21.922685 | sports_talk_shows_126 | chunk 8 | prompt_tokens=1107, candidates_tokens=79, total_tokens=1186
2025-11-21T00:30:30.577801 | sports_talk_shows_126 | chunk 9 | prompt_tokens=2232, candidates_tokens=130, total_tokens=2362
2025-11-21T00:30:34.813002 | sports_talk_shows_126 | chunk 10 | prompt_tokens=457, candidates_tokens=108, total_tokens=565
2025-11-21T00:30:43.233279 | sports_talk_shows_126 | chunk 11 | prompt_tokens=1032, candidates_tokens=105, total_tokens=1137
2025-11-21T00:30:54.599450 | sports_talk_shows_126 | chunk 12 | prompt_tokens=2032, candidates_tokens=95, total_tokens=2127
2025-11-21T00:31:01.020273 | sports_talk_shows_126 | chunk 13 | prompt_tokens=2132, candidates_tokens=98, total_tokens=2230
2025-11-21T00:31:05.754995 | sports_talk_shows_207 | chunk 0 | prompt_tokens=1407, candidates_tokens=87, total_tokens=1494
2025-11-21T00:31:11.690033 | sports_talk_shows_207 | chunk 1 | prompt_tokens=1257, candidates_tokens=86, total_tokens=1343
2025-11-21T00:31:19.850459 | sports_talk_shows_207 | chunk 2 | prompt_tokens=1507, candidates_tokens=84, total_tokens=1591
2025-11-21T00:31:23.027400 | sports_talk_shows_207 | chunk 3 | prompt_tokens=232, candidates_tokens=30, total_tokens=262
2025-11-21T00:31:28.706500 | sports_talk_shows_207 | chunk 4 | prompt_tokens=2007, candidates_tokens=63, total_tokens=2070
