2025-11-21T17:48:24.152095 | science_explainers_341 | chunk 0 | prompt_tokens=5764, candidates_tokens=330, total_tokens=7170
2025-11-21T17:48:42.560595 | science_explainers_341 | chunk 1 | prompt_tokens=14820, candidates_tokens=158, total_tokens=15331
2025-11-21T17:49:17.491927 | science_explainers_341 | chunk 2 | prompt_tokens=5122, candidates_tokens=202, total_tokens=5990
2025-11-21T17:49:30.068435 | science_explainers_341 | chunk 3 | prompt_tokens=13122, candidates_tokens=207, total_tokens=13753
2025-11-21T17:49:49.381776 | science_explainers_341 | chunk 4 | prompt_tokens=12273, candidates_tokens=370, total_tokens=13697
2025-11-21T17:50:22.626670 | science_explainers_341 | chunk 5 | prompt_tokens=1599, candidates_tokens=159, total_tokens=2033
2025-11-21T17:51:02.017590 | science_explainers_341 | chunk 6 | prompt_tokens=33751, candidates_tokens=328, total_tokens=34805
2025-11-21T17:51:13.444315 | science_explainers_341 | chunk 7 | prompt_tokens=8752, candidates_tokens=281, total_tokens=9530
2025-11-21T17:51:28.818163 | science_explainers_341 | chunk 8 | prompt_tokens=12148, candidates_tokens=332, total_tokens=13273
2025-11-21T17:51:46.915944 | science_explainers_341 | chunk 9 | prompt_tokens=26348, candidates_tokens=323, total_tokens=27045
2025-11-21T17:51:55.582260 | science_explainers_341 | chunk 10 | prompt_tokens=2293, candidates_tokens=189, total_tokens=2833
2025-11-21T17:52:07.211192 | science_explainers_341 | chunk 11 | prompt_tokens=6921, candidates_tokens=272, total_tokens=7850
2025-11-21T17:52:18.795402 | science_explainers_341 | chunk 12 | prompt_tokens=10500, candidates_tokens=276, total_tokens=11176
2025-11-21T17:52:30.789643 | science_explainers_341 | chunk 13 | prompt_tokens=12814, candidates_tokens=233, total_tokens=13385
2025-11-21T17:52:39.616793 | science_explainers_335 | chunk 0 | prompt_tokens=4299, candidates_tokens=124, total_tokens=4736
2025-11-21T17:53:15.468510 | science_explainers_335 | chunk 1 | prompt_tokens=13986, candidates_tokens=174, total_tokens=14453
2025-11-21T17:53:24.613590 | science_explainers_335 | chunk 2 | prompt_tokens=3400, candidates_tokens=156, total_tokens=3895
2025-11-21T17:53:38.843388 | science_explainers_335 | chunk 3 | prompt_tokens=21462, candidates_tokens=98, total_tokens=21886
2025-11-21T17:53:47.823727 | science_explainers_335 | chunk 4 | prompt_tokens=7978, candidates_tokens=117, total_tokens=8276
2025-11-21T17:54:20.263132 | science_explainers_335 | chunk 5 | prompt_tokens=7495, candidates_tokens=84, total_tokens=7858
2025-11-21T17:54:34.617425 | science_explainers_335 | chunk 6 | prompt_tokens=10192, candidates_tokens=79, total_tokens=10467
2025-11-21T17:54:46.539343 | science_explainers_335 | chunk 7 | prompt_tokens=10242, candidates_tokens=128, total_tokens=10664
2025-11-21T17:54:55.840226 | science_explainers_335 | chunk 8 | prompt_tokens=7104, candidates_tokens=81, total_tokens=7466
2025-11-21T17:55:13.618675 | science_explainers_335 | chunk 9 | prompt_tokens=12531, candidates_tokens=137, total_tokens=13342
2025-11-21T17:55:27.494135 | science_explainers_335 | chunk 10 | prompt_tokens=12714, candidates_tokens=120, total_tokens=13177
2025-11-21T17:55:39.276488 | science_explainers_335 | chunk 11 | prompt_tokens=12248, candidates_tokens=125, total_tokens=12720
2025-11-21T17:55:49.824351 | science_explainers_335 | chunk 12 | prompt_tokens=18782, candidates_tokens=100, total_tokens=18943
2025-11-21T17:56:00.118827 | science_explainers_335 | chunk 13 | prompt_tokens=6821, candidates_tokens=124, total_tokens=7375
2025-11-21T17:56:14.119046 | science_explainers_335 | chunk 14 | prompt_tokens=9318, candidates_tokens=143, total_tokens=9731
2025-11-21T17:56:22.144570 | science_explainers_335 | chunk 15 | prompt_tokens=4324, candidates_tokens=93, total_tokens=4674
2025-11-21T17:56:29.128644 | science_explainers_335 | chunk 16 | prompt_tokens=2060, candidates_tokens=93, total_tokens=2377
2025-11-21T17:56:59.674158 | science_explainers_384 | chunk 0 | prompt_tokens=5712, candidates_tokens=222, total_tokens=6832
2025-11-21T17:57:15.980733 | science_explainers_384 | chunk 1 | prompt_tokens=11682, candidates_tokens=135, total_tokens=12062
2025-11-21T17:57:28.900371 | science_explainers_384 | chunk 2 | prompt_tokens=5098, candidates_tokens=103, total_tokens=5704
2025-11-21T17:57:39.686291 | science_explainers_384 | chunk 3 | prompt_tokens=7720, candidates_tokens=120, total_tokens=8088
2025-11-21T17:58:11.537314 | science_explainers_384 | chunk 4 | prompt_tokens=11625, candidates_tokens=169, total_tokens=12541
2025-11-21T17:58:38.560102 | science_explainers_384 | chunk 5 | prompt_tokens=8391, candidates_tokens=188, total_tokens=9020
2025-11-21T17:58:52.008661 | science_explainers_384 | chunk 6 | prompt_tokens=11732, candidates_tokens=166, total_tokens=12276
2025-11-21T17:59:08.754411 | science_explainers_384 | chunk 7 | prompt_tokens=16160, candidates_tokens=468, total_tokens=17508
2025-11-21T17:59:21.445994 | science_explainers_384 | chunk 8 | prompt_tokens=9085, candidates_tokens=135, total_tokens=9572
2025-11-21T17:59:49.670616 | science_explainers_384 | chunk 9 | prompt_tokens=14557, candidates_tokens=68, total_tokens=14879
2025-11-21T18:00:14.222171 | science_explainers_384 | chunk 10 | prompt_tokens=6895, candidates_tokens=144, total_tokens=7340
2025-11-21T18:00:27.738383 | science_explainers_384 | chunk 11 | prompt_tokens=8003, candidates_tokens=246, total_tokens=8684
2025-11-21T18:00:39.236892 | science_explainers_384 | chunk 12 | prompt_tokens=6846, candidates_tokens=106, total_tokens=7248
2025-11-21T18:00:47.854519 | science_explainers_384 | chunk 13 | prompt_tokens=4324, candidates_tokens=94, total_tokens=4800
2025-11-21T18:00:59.865007 | science_explainers_384 | chunk 14 | prompt_tokens=8877, candidates_tokens=189, total_tokens=9392
2025-11-21T18:01:14.197694 | science_explainers_384 | chunk 15 | prompt_tokens=13047, candidates_tokens=360, total_tokens=14023
2025-11-21T18:01:32.206433 | science_explainers_384 | chunk 16 | prompt_tokens=9085, candidates_tokens=272, total_tokens=10162
2025-11-21T18:01:44.108119 | science_explainers_384 | chunk 17 | prompt_tokens=7387, candidates_tokens=126, total_tokens=7889
2025-11-21T18:01:56.566361 | science_explainers_384 | chunk 18 | prompt_tokens=7645, candidates_tokens=144, total_tokens=8051
2025-11-21T18:02:04.701602 | science_explainers_384 | chunk 19 | prompt_tokens=903, candidates_tokens=79, total_tokens=1192
2025-11-21T18:02:14.393439 | science_explainers_98 | chunk 0 | prompt_tokens=6821, candidates_tokens=253, total_tokens=7407
2025-11-21T18:02:25.156894 | science_explainers_98 | chunk 1 | prompt_tokens=6846, candidates_tokens=218, total_tokens=7453
2025-11-21T18:02:42.732571 | science_explainers_98 | chunk 2 | prompt_tokens=9984, candidates_tokens=410, total_tokens=11708
2025-11-21T18:02:52.317481 | science_explainers_98 | chunk 3 | prompt_tokens=3916, candidates_tokens=202, total_tokens=4592
2025-11-21T18:03:24.964865 | science_explainers_98 | chunk 4 | prompt_tokens=10140, candidates_tokens=319, total_tokens=11124
2025-11-21T18:03:57.957581 | science_explainers_98 | chunk 5 | prompt_tokens=4848, candidates_tokens=232, total_tokens=5610
2025-11-21T18:04:09.433828 | science_explainers_98 | chunk 6 | prompt_tokens=6563, candidates_tokens=290, total_tokens=7418
2025-11-21T18:04:34.263891 | science_explainers_98 | chunk 7 | prompt_tokens=21046, candidates_tokens=532, total_tokens=22920
2025-11-21T18:04:51.424214 | science_explainers_98 | chunk 8 | prompt_tokens=21462, candidates_tokens=277, total_tokens=22218
2025-11-21T18:05:03.179592 | science_explainers_98 | chunk 9 | prompt_tokens=13380, candidates_tokens=178, total_tokens=13883
2025-11-21T18:05:38.555697 | science_explainers_98 | chunk 10 | prompt_tokens=14262, candidates_tokens=300, total_tokens=15436
2025-11-21T18:05:50.959931 | science_explainers_98 | chunk 11 | prompt_tokens=17342, candidates_tokens=135, total_tokens=17715
2025-11-21T18:06:24.846972 | science_explainers_98 | chunk 12 | prompt_tokens=9564, candidates_tokens=305, total_tokens=10668
2025-11-21T18:06:41.156386 | science_explainers_157 | chunk 0 | prompt_tokens=7770, candidates_tokens=276, total_tokens=8987
2025-11-21T18:07:12.762967 | science_explainers_157 | chunk 1 | prompt_tokens=28662, candidates_tokens=343, total_tokens=29850
2025-11-21T18:07:29.118527 | science_explainers_157 | chunk 2 | prompt_tokens=17009, candidates_tokens=262, total_tokens=17569
2025-11-21T18:07:47.296962 | science_explainers_157 | chunk 3 | prompt_tokens=17009, candidates_tokens=238, total_tokens=18060
2025-11-21T18:08:19.705076 | science_explainers_157 | chunk 4 | prompt_tokens=6887, candidates_tokens=243, total_tokens=7453
2025-11-21T18:08:34.984906 | science_explainers_157 | chunk 5 | prompt_tokens=9443, candidates_tokens=291, total_tokens=10506
2025-11-21T18:09:11.746894 | science_explainers_157 | chunk 6 | prompt_tokens=9273, candidates_tokens=208, total_tokens=10041
2025-11-21T18:09:23.526983 | science_explainers_157 | chunk 7 | prompt_tokens=6796, candidates_tokens=216, total_tokens=7327
2025-11-21T18:09:37.138469 | science_explainers_157 | chunk 8 | prompt_tokens=10758, candidates_tokens=227, total_tokens=11634
2025-11-21T18:09:52.944847 | science_explainers_157 | chunk 9 | prompt_tokens=17575, candidates_tokens=208, total_tokens=18351
2025-11-21T18:10:30.362988 | science_explainers_157 | chunk 10 | prompt_tokens=11615, candidates_tokens=221, total_tokens=12471
2025-11-21T18:11:03.879925 | science_explainers_157 | chunk 11 | prompt_tokens=7496, candidates_tokens=241, total_tokens=8581
2025-11-21T18:11:24.000595 | science_explainers_157 | chunk 12 | prompt_tokens=17342, candidates_tokens=461, total_tokens=18576
2025-11-21T18:11:34.320701 | science_explainers_60 | chunk 0 | prompt_tokens=7645, candidates_tokens=257, total_tokens=8503
